"","Date","Trump","Cruz","Rubio","Carson","Kasich","Bush","Christie","Fiorina","Gilmore","Graham","Huckabee","Jindal","Pataki","Perry","Rand.Paul","Santorum","Walker","Undecided","DOW","Weekday","Month","MonthName","Quarter","Year"
"110",2015-07-26,25,8.5,4.5,7.5,2.5,14.5,2.5,1.5,NA,0,6,0.5,0,1.5,5,1,14,6,"0","Sunday","07","July",3,"2015"
"111",2015-07-28,26,7,5,5,5,10,2,1,NA,1,7,2,1,2,3,2,14,7,"2","Tuesday","07","July",3,"2015"
"112",2015-07-29,27.5,6,5.5,6,3,13,3,1,NA,1,7,1,0.5,2.5,4,1.5,11.5,NA,"3","Wednesday","07","July",3,"2015"
"113",2015-07-30,24.3333333333333,5.33333333333333,5,5.66666666666667,3.33333333333333,12.3333333333333,3.66666666666667,1.66666666666667,0,0.666666666666667,6.33333333333333,1,0,1.66666666666667,4.66666666666667,1.66666666666667,9.33333333333333,12,"4","Thursday","07","July",3,"2015"
"114",2015-07-31,25.5,6.5,7,6.5,1.5,12,3.5,1.5,NA,0.5,4,3,0.5,2.5,5.5,1,11,7,"5","Friday","07","July",3,"2015"
"115",2015-08-01,24,6,4,5,3,16,3,1,NA,3,5,1,0,4,7,2,12,6,"6","Saturday","08","August",3,"2015"
"116",2015-08-03,26,5,3,2,1,17,3,1,0,0,3,2,1,2,3,1,5,25,"1","Monday","08","August",3,"2015"
"117",2015-08-06,24,5,8,8,4,12,1,6,NA,3,8,1,0,1,3,1,7,8,"4","Thursday","08","August",3,"2015"
"118",2015-08-07,27.5,8.5,7,10,2.5,9,2.5,5.5,NA,1,4,1,0,1.5,5,0.5,6.5,7,"5","Friday","08","August",3,"2015"
"119",2015-08-08,21,5,8,8,1,12,3,6,NA,2,7,2,1,2,6,1,5,10,"6","Saturday","08","August",3,"2015"
"120",2015-08-09,17,7,10,8,4,10,4,9,1,1,3,1,0,1,4,1,9,11,"0","Sunday","08","August",3,"2015"
"121",2015-08-10,16,7,7,11,3,9,2,3,0,0,7,0,0,2,3,1,5,24,"1","Monday","08","August",3,"2015"
"122",2015-08-11,25,10,4,12,4,9,3,5,0,0,6,1,1,1,3,1,6,7,"2","Tuesday","08","August",3,"2015"
"123",2015-08-13,24,5,8,9,5,13,3,5,0,0,4,0,0,2,6,1,8,4,"4","Thursday","08","August",3,"2015"
"124",2015-08-14,28.5,6,7.5,9,3.5,10.5,3.5,5,NA,0.5,4.5,1,0,1,3.5,1,6,9,"5","Friday","08","August",3,"2015"
"125",2015-08-15,29,4,4,9,2,10,4,5,0,1,7,2,0,4,5,1,9,5,"6","Saturday","08","August",3,"2015"
"126",2015-08-20,28,7,7,12,5,7,4,5,0,0,3,0,0,1,2,1,6,11,"4","Thursday","08","August",3,"2015"
"127",2015-08-21,40,7,5,13,5,10,1,5,NA,1,4,1,1,2,2,1,4,NA,"5","Friday","08","August",3,"2015"
"128",2015-08-22,30,5,5,8,1,7,2,5,1,1,10,1,0,3,5,1,5,10,"6","Saturday","08","August",3,"2015"
"129",2015-08-28,34,5.33333333333333,6.66666666666667,11.6666666666667,4,8.66666666666667,2.66666666666667,4.66666666666667,NA,0.333333333333333,5,0.666666666666667,NA,0.666666666666667,3,1.66666666666667,5.33333333333333,4.66666666666667,"5","Friday","08","August",3,"2015"
"130",2015-08-29,31,6,3,15,5,12,2,3,0,0,6,1,0,2,2,1,5,6,"6","Saturday","08","August",3,"2015"
"131",2015-08-31,30,8,5,18,2,8,2,4,0,0,4,0,0,1,2,0,3,11,"1","Monday","08","August",3,"2015"
"132",2015-09-04,31.5,6,3.5,18.5,2,9,3,3,NA,1,4.5,1,0,1.5,2.5,1,4.5,6.5,"5","Friday","09","September",3,"2015"
"133",2015-09-05,34.5,6,6,16,3.5,10,2,2.5,NA,0.5,4.5,NA,NA,1,2,NA,5.5,5,"6","Saturday","09","September",3,"2015"
"134",2015-09-07,33,7,7,20,3,8,1,2,0,0,3,1,0,1,5,1,2,5,"1","Monday","09","September",3,"2015"
"135",2015-09-09,27,5,6,23,3,6,1,4,NA,0,6,0,0,1,3,1,2,9,"3","Wednesday","09","September",3,"2015"
"136",2015-09-11,30.3333333333333,6.33333333333333,6.33333333333333,16.6666666666667,3,9,2.33333333333333,7.33333333333333,NA,NA,3.33333333333333,0.333333333333333,NA,NA,3.66666666666667,1,3.33333333333333,5,"5","Friday","09","September",3,"2015"
"137",2015-09-12,35,5,3,14,2,8,6,2,0,0,7,1,0,NA,2,1,4,8,"6","Saturday","09","September",3,"2015"
"138",2015-09-16,25.5,6.5,11,13,3,7,3.5,16.5,0.5,0,2,0.5,0.5,NA,2.5,0.5,3,NA,"3","Wednesday","09","September",3,"2015"
"139",2015-09-17,24.5,6.5,10,15.5,2,9.5,2.5,13.5,0,0,4,0,0.5,NA,2.5,0.5,NA,6.5,"4","Thursday","09","September",3,"2015"
